name,National №,Type,Species,Height,Weight,Abilities,Local №
Pelipper,279, Water Flying,Water Bird Pokémon,1.2 m (3′11″),28.0 kg (61.7 lbs), Keen Eye Drizzle Rain Dish, Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish
Ralts,280, Psychic Fairy,Feeling Pokémon,0.4 m (1′04″),6.6 kg (14.6 lbs), Synchronize Trace Telepathy, Telepathy Telepathy Telepathy Telepathy Telepathy
Kirlia,281, Psychic Fairy,Emotion Pokémon,0.8 m (2′07″),20.2 kg (44.5 lbs), Synchronize Trace Telepathy, Telepathy Telepathy Telepathy Telepathy Telepathy
Gardevoir,282, Psychic Fairy,Embrace Pokémon,1.6 m (5′03″),48.4 kg (106.7 lbs), Synchronize Trace Telepathy, Telepathy Telepathy Telepathy Telepathy Telepathy
Surskit,283, Bug Water,Pond Skater Pokémon,0.5 m (1′08″),1.7 kg (3.7 lbs), Swift Swim Rain Dish, Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish
Masquerain,284, Bug Flying,Eyeball Pokémon,0.8 m (2′07″),3.6 kg (7.9 lbs), Intimidate Unnerve, Unnerve Unnerve Unnerve Unnerve Unnerve
Shroomish,285, Grass,Mushroom Pokémon,0.4 m (1′04″),4.5 kg (9.9 lbs), Effect Spore Poison Heal Quick Feet, Quick Feet Quick Feet
Breloom,286, Grass Fighting,Mushroom Pokémon,1.2 m (3′11″),39.2 kg (86.4 lbs), Effect Spore Poison Heal Technician, Technician Technician
Slakoth,287, Normal,Slacker Pokémon,0.8 m (2′07″),24.0 kg (52.9 lbs), Truant, Truant Truant Truant
Vigoroth,288, Normal,Wild Monkey Pokémon,1.4 m (4′07″),46.5 kg (102.5 lbs), Vital Spirit, Vital Spirit Vital Spirit Vital Spirit
Slaking,289, Normal,Lazy Pokémon,2.0 m (6′07″),130.5 kg (287.7 lbs), Truant, Truant Truant Truant
Nincada,290, Bug Ground,Trainee Pokémon,0.5 m (1′08″),5.5 kg (12.1 lbs), Compound Eyes Run Away, Run Away Run Away Run Away Run Away
Ninjask,291, Bug Flying,Ninja Pokémon,0.8 m (2′07″),12.0 kg (26.5 lbs), Speed Boost Infiltrator, Infiltrator Infiltrator Infiltrator Infiltrator
Shedinja,292, Bug Ghost,Shed Pokémon,0.8 m (2′07″),1.2 kg (2.6 lbs), Wonder Guard, Wonder Guard Wonder Guard Wonder Guard Wonder Guard
Whismur,293, Normal,Whisper Pokémon,0.6 m (2′00″),16.3 kg (35.9 lbs), Soundproof Rattled, Rattled Rattled Rattled
Loudred,294, Normal,Big Voice Pokémon,1.0 m (3′03″),40.5 kg (89.3 lbs), Soundproof Scrappy, Scrappy Scrappy Scrappy
Exploud,295, Normal,Loud Noise Pokémon,1.5 m (4′11″),84.0 kg (185.2 lbs), Soundproof Scrappy, Scrappy Scrappy Scrappy
Makuhita,296, Fighting,Guts Pokémon,1.0 m (3′03″),86.4 kg (190.5 lbs), Thick Fat Guts Sheer Force, Sheer Force Sheer Force Sheer Force Sheer Force Sheer Force
Hariyama,297, Fighting,Arm Thrust Pokémon,2.3 m (7′07″),253.8 kg (559.5 lbs), Thick Fat Guts Sheer Force, Sheer Force Sheer Force Sheer Force Sheer Force Sheer Force
Azurill,298, Normal Fairy,Polka Dot Pokémon,0.2 m (0′08″),2.0 kg (4.4 lbs), Thick Fat Huge Power Sap Sipper, Sap Sipper Sap Sipper Sap Sipper Sap Sipper Sap Sipper Sap Sipper
Nosepass,299, Rock,Compass Pokémon,1.0 m (3′03″),97.0 kg (213.8 lbs), Sturdy Magnet Pull Sand Force, Sand Force Sand Force Sand Force Sand Force Sand Force Sand Force Sand Force
Skitty,300, Normal,Kitten Pokémon,0.6 m (2′00″),11.0 kg (24.3 lbs), Cute Charm Normalize Wonder Skin, Wonder Skin Wonder Skin Wonder Skin Wonder Skin
Delcatty,301, Normal,Prim Pokémon,1.1 m (3′07″),32.6 kg (71.9 lbs), Cute Charm Normalize Wonder Skin, Wonder Skin Wonder Skin Wonder Skin Wonder Skin
Sableye,302, Dark Ghost,Darkness Pokémon,0.5 m (1′08″),11.0 kg (24.3 lbs), Keen Eye Stall Prankster, Prankster Prankster Prankster Prankster Prankster Prankster
Mawile,303, Steel Fairy,Deceiver Pokémon,0.6 m (2′00″),11.5 kg (25.4 lbs), Hyper Cutter Intimidate Sheer Force, Sheer Force Sheer Force Sheer Force Sheer Force Sheer Force
Aron,304, Steel Rock,Iron Armor Pokémon,0.4 m (1′04″),60.0 kg (132.3 lbs), Sturdy Rock Head Heavy Metal, Heavy Metal Heavy Metal Heavy Metal Heavy Metal
Lairon,305, Steel Rock,Iron Armor Pokémon,0.9 m (2′11″),120.0 kg (264.6 lbs), Sturdy Rock Head Heavy Metal, Heavy Metal Heavy Metal Heavy Metal Heavy Metal
Aggron,306, Steel Rock,Iron Armor Pokémon,2.1 m (6′11″),360.0 kg (793.7 lbs), Sturdy Rock Head Heavy Metal, Heavy Metal Heavy Metal Heavy Metal Heavy Metal
Meditite,307, Fighting Psychic,Meditate Pokémon,0.6 m (2′00″),11.2 kg (24.7 lbs), Pure Power Telepathy, Telepathy Telepathy Telepathy Telepathy Telepathy
Medicham,308, Fighting Psychic,Meditate Pokémon,1.3 m (4′03″),31.5 kg (69.4 lbs), Pure Power Telepathy, Telepathy Telepathy Telepathy Telepathy Telepathy
Electrike,309, Electric,Lightning Pokémon,0.6 m (2′00″),15.2 kg (33.5 lbs), Static Lightning Rod Minus, Minus Minus Minus Minus Minus
Manectric,310, Electric,Discharge Pokémon,1.5 m (4′11″),40.2 kg (88.6 lbs), Static Lightning Rod Minus, Minus Minus Minus Minus Minus
Plusle,311, Electric,Cheering Pokémon,0.4 m (1′04″),4.2 kg (9.3 lbs), Plus Lightning Rod, Lightning Rod Lightning Rod Lightning Rod
Minun,312, Electric,Cheering Pokémon,0.4 m (1′04″),4.2 kg (9.3 lbs), Minus Volt Absorb, Volt Absorb Volt Absorb Volt Absorb
Volbeat,313, Bug,Firefly Pokémon,0.7 m (2′04″),17.7 kg (39.0 lbs), Illuminate Swarm Prankster, Prankster Prankster Prankster
Illumise,314, Bug,Firefly Pokémon,0.6 m (2′00″),17.7 kg (39.0 lbs), Oblivious Tinted Lens Prankster, Prankster Prankster Prankster
Roselia,315, Grass Poison,Thorn Pokémon,0.3 m (1′00″),2.0 kg (4.4 lbs), Natural Cure Poison Point Leaf Guard, Leaf Guard Leaf Guard Leaf Guard Leaf Guard Leaf Guard Leaf Guard Leaf Guard
Gulpin,316, Poison,Stomach Pokémon,0.4 m (1′04″),10.3 kg (22.7 lbs), Liquid Ooze Sticky Hold Gluttony, Gluttony Gluttony Gluttony
Swalot,317, Poison,Poison Bag Pokémon,1.7 m (5′07″),80.0 kg (176.4 lbs), Liquid Ooze Sticky Hold Gluttony, Gluttony Gluttony Gluttony
Carvanha,318, Water Dark,Savage Pokémon,0.8 m (2′07″),20.8 kg (45.9 lbs), Rough Skin Speed Boost, Speed Boost Speed Boost Speed Boost Speed Boost Speed Boost
Sharpedo,319, Water Dark,Brutal Pokémon,1.8 m (5′11″),88.8 kg (195.8 lbs), Rough Skin Speed Boost, Speed Boost Speed Boost Speed Boost Speed Boost Speed Boost
Wailmer,320, Water,Ball Whale Pokémon,2.0 m (6′07″),130.0 kg (286.6 lbs), Water Veil Oblivious Pressure, Pressure Pressure Pressure Pressure Pressure Pressure Pressure
Wailord,321, Water,Float Whale Pokémon,14.5 m (47′07″),398.0 kg (877.4 lbs), Water Veil Oblivious Pressure, Pressure Pressure Pressure Pressure Pressure Pressure Pressure
Numel,322, Fire Ground,Numb Pokémon,0.7 m (2′04″),24.0 kg (52.9 lbs), Oblivious Simple Own Tempo, Own Tempo Own Tempo Own Tempo
Camerupt,323, Fire Ground,Eruption Pokémon,1.9 m (6′03″),220.0 kg (485.0 lbs), Magma Armor Solid Rock Anger Point, Anger Point Anger Point Anger Point
Torkoal,324, Fire,Coal Pokémon,0.5 m (1′08″),80.4 kg (177.3 lbs), White Smoke Drought Shell Armor, Shell Armor Shell Armor Shell Armor Shell Armor Shell Armor Shell Armor
Spoink,325, Psychic,Bounce Pokémon,0.7 m (2′04″),30.6 kg (67.5 lbs), Thick Fat Own Tempo Gluttony, Gluttony Gluttony Gluttony Gluttony
Grumpig,326, Psychic,Manipulate Pokémon,0.9 m (2′11″),71.5 kg (157.6 lbs), Thick Fat Own Tempo Gluttony, Gluttony Gluttony Gluttony Gluttony
Spinda,327, Normal,Spot Panda Pokémon,1.1 m (3′07″),5.0 kg (11.0 lbs), Own Tempo Tangled Feet Contrary, Contrary Contrary Contrary Contrary Contrary
Trapinch,328, Ground,Ant Pit Pokémon,0.7 m (2′04″),15.0 kg (33.1 lbs), Hyper Cutter Arena Trap Sheer Force, Sheer Force Sheer Force Sheer Force Sheer Force Sheer Force Sheer Force Sheer Force
Vibrava,329, Ground Dragon,Vibration Pokémon,1.1 m (3′07″),15.3 kg (33.7 lbs), Levitate, Levitate Levitate Levitate Levitate Levitate Levitate Levitate
Flygon,330, Ground Dragon,Mystic Pokémon,2.0 m (6′07″),82.0 kg (180.8 lbs), Levitate, Levitate Levitate Levitate Levitate Levitate Levitate Levitate
Cacnea,331, Grass,Cactus Pokémon,0.4 m (1′04″),51.3 kg (113.1 lbs), Sand Veil Water Absorb, Water Absorb Water Absorb
Cacturne,332, Grass Dark,Scarecrow Pokémon,1.3 m (4′03″),77.4 kg (170.6 lbs), Sand Veil Water Absorb, Water Absorb Water Absorb
Swablu,333, Normal Flying,Cotton Bird Pokémon,0.4 m (1′04″),1.2 kg (2.6 lbs), Natural Cure Cloud Nine, Cloud Nine Cloud Nine Cloud Nine Cloud Nine Cloud Nine
Altaria,334, Dragon Flying,Humming Pokémon,1.1 m (3′07″),20.6 kg (45.4 lbs), Natural Cure Cloud Nine, Cloud Nine Cloud Nine Cloud Nine Cloud Nine Cloud Nine
Zangoose,335, Normal,Cat Ferret Pokémon,1.3 m (4′03″),40.3 kg (88.8 lbs), Immunity Toxic Boost, Toxic Boost Toxic Boost Toxic Boost Toxic Boost
Seviper,336, Poison,Fang Snake Pokémon,2.7 m (8′10″),52.5 kg (115.7 lbs), Shed Skin Infiltrator, Infiltrator Infiltrator Infiltrator Infiltrator
Lunatone,337, Rock Psychic,Meteorite Pokémon,1.0 m (3′03″),168.0 kg (370.4 lbs), Levitate, Levitate Levitate Levitate Levitate Levitate
Solrock,338, Rock Psychic,Meteorite Pokémon,1.2 m (3′11″),154.0 kg (339.5 lbs), Levitate, Levitate Levitate Levitate Levitate Levitate
Barboach,339, Water Ground,Whiskers Pokémon,0.4 m (1′04″),1.9 kg (4.2 lbs), Oblivious Anticipation Hydration, Hydration Hydration Hydration Hydration Hydration Hydration Hydration Hydration
Whiscash,340, Water Ground,Whiskers Pokémon,0.9 m (2′11″),23.6 kg (52.0 lbs), Oblivious Anticipation Hydration, Hydration Hydration Hydration Hydration Hydration Hydration Hydration Hydration
Corphish,341, Water,Ruffian Pokémon,0.6 m (2′00″),11.5 kg (25.4 lbs), Hyper Cutter Shell Armor Adaptability, Adaptability Adaptability Adaptability Adaptability Adaptability Adaptability
Crawdaunt,342, Water Dark,Rogue Pokémon,1.1 m (3′07″),32.8 kg (72.3 lbs), Hyper Cutter Shell Armor Adaptability, Adaptability Adaptability Adaptability Adaptability Adaptability Adaptability
Baltoy,343, Ground Psychic,Clay Doll Pokémon,0.5 m (1′08″),21.5 kg (47.4 lbs), Levitate, Levitate Levitate Levitate Levitate Levitate
Claydol,344, Ground Psychic,Clay Doll Pokémon,1.5 m (4′11″),108.0 kg (238.1 lbs), Levitate, Levitate Levitate Levitate Levitate Levitate
Lileep,345, Rock Grass,Sea Lily Pokémon,1.0 m (3′03″),23.8 kg (52.5 lbs), Suction Cups Storm Drain, Storm Drain Storm Drain Storm Drain
Cradily,346, Rock Grass,Barnacle Pokémon,1.5 m (4′11″),60.4 kg (133.2 lbs), Suction Cups Storm Drain, Storm Drain Storm Drain Storm Drain
Anorith,347, Rock Bug,Old Shrimp Pokémon,0.7 m (2′04″),12.5 kg (27.6 lbs), Battle Armor Swift Swim, Swift Swim Swift Swim Swift Swim
Armaldo,348, Rock Bug,Plate Pokémon,1.5 m (4′11″),68.2 kg (150.4 lbs), Battle Armor Swift Swim, Swift Swim Swift Swim Swift Swim
Feebas,349, Water,Fish Pokémon,0.6 m (2′00″),7.4 kg (16.3 lbs), Swift Swim Oblivious Adaptability, Adaptability Adaptability Adaptability Adaptability Adaptability Adaptability Adaptability
Milotic,350, Water,Tender Pokémon,6.2 m (20′04″),162.0 kg (357.1 lbs), Marvel Scale Competitive Cute Charm, Cute Charm Cute Charm Cute Charm Cute Charm Cute Charm Cute Charm Cute Charm
Castform,351, Normal,Weather Pokémon,0.3 m (1′00″),0.8 kg (1.8 lbs), Forecast, Forecast Forecast Forecast Forecast Forecast
Kecleon,352, Normal,Color Swap Pokémon,1.0 m (3′03″),22.0 kg (48.5 lbs), Color Change Protean, Protean Protean Protean Protean
Shuppet,353, Ghost,Puppet Pokémon,0.6 m (2′00″),2.3 kg (5.1 lbs), Insomnia Frisk Cursed Body, Cursed Body Cursed Body Cursed Body Cursed Body Cursed Body
Banette,354, Ghost,Marionette Pokémon,1.1 m (3′07″),12.5 kg (27.6 lbs), Insomnia Frisk Cursed Body, Cursed Body Cursed Body Cursed Body Cursed Body Cursed Body
Duskull,355, Ghost,Requiem Pokémon,0.8 m (2′07″),15.0 kg (33.1 lbs), Levitate Frisk, Frisk Frisk Frisk Frisk
Dusclops,356, Ghost,Beckon Pokémon,1.6 m (5′03″),30.6 kg (67.5 lbs), Pressure Frisk, Frisk Frisk Frisk Frisk
Tropius,357, Grass Flying,Fruit Pokémon,2.0 m (6′07″),100.0 kg (220.5 lbs), Chlorophyll Solar Power Harvest, Harvest Harvest Harvest Harvest Harvest
Chimecho,358, Psychic,Wind Chime Pokémon,0.6 m (2′00″),1.0 kg (2.2 lbs), Levitate, Levitate Levitate Levitate Levitate Levitate
Absol,359, Dark,Disaster Pokémon,1.2 m (3′11″),47.0 kg (103.6 lbs), Pressure Super Luck Justified, Justified Justified Justified Justified Justified Justified Justified
Wynaut,360, Psychic,Bright Pokémon,0.6 m (2′00″),14.0 kg (30.9 lbs), Shadow Tag Telepathy, Telepathy Telepathy Telepathy Telepathy
Snorunt,361, Ice,Snow Hat Pokémon,0.7 m (2′04″),16.8 kg (37.0 lbs), Inner Focus Ice Body Moody, Moody Moody Moody Moody Moody Moody
Glalie,362, Ice,Face Pokémon,1.5 m (4′11″),256.5 kg (565.5 lbs), Inner Focus Ice Body Moody, Moody Moody Moody Moody Moody Moody
Spheal,363, Ice Water,Clap Pokémon,0.8 m (2′07″),39.5 kg (87.1 lbs), Thick Fat Ice Body Oblivious, Oblivious Oblivious Oblivious
Sealeo,364, Ice Water,Ball Roll Pokémon,1.1 m (3′07″),87.6 kg (193.1 lbs), Thick Fat Ice Body Oblivious, Oblivious Oblivious Oblivious
Walrein,365, Ice Water,Ice Break Pokémon,1.4 m (4′07″),150.6 kg (332.0 lbs), Thick Fat Ice Body Oblivious, Oblivious Oblivious Oblivious
Clamperl,366, Water,Bivalve Pokémon,0.4 m (1′04″),52.5 kg (115.7 lbs), Shell Armor Rattled, Rattled Rattled Rattled Rattled
Huntail,367, Water,Deep Sea Pokémon,1.7 m (5′07″),27.0 kg (59.5 lbs), Swift Swim Water Veil, Water Veil Water Veil Water Veil Water Veil
Gorebyss,368, Water,South Sea Pokémon,1.8 m (5′11″),22.6 kg (49.8 lbs), Swift Swim Hydration, Hydration Hydration Hydration Hydration
Relicanth,369, Water Rock,Longevity Pokémon,1.0 m (3′03″),23.4 kg (51.6 lbs), Swift Swim Rock Head Sturdy, Sturdy Sturdy Sturdy Sturdy Sturdy
Luvdisc,370, Water,Rendezvous Pokémon,0.6 m (2′00″),8.7 kg (19.2 lbs), Swift Swim Hydration, Hydration Hydration Hydration Hydration Hydration
Bagon,371, Dragon,Rock Head Pokémon,0.6 m (2′00″),42.1 kg (92.8 lbs), Rock Head Sheer Force, Sheer Force Sheer Force Sheer Force Sheer Force Sheer Force
Shelgon,372, Dragon,Endurance Pokémon,1.1 m (3′07″),110.5 kg (243.6 lbs), Rock Head Overcoat, Overcoat Overcoat Overcoat Overcoat Overcoat
Salamence,373, Dragon Flying,Dragon Pokémon,1.5 m (4′11″),102.6 kg (226.2 lbs), Intimidate Moxie, Moxie Moxie Moxie Moxie Moxie
Beldum,374, Steel Psychic,Iron Ball Pokémon,0.6 m (2′00″),95.2 kg (209.9 lbs), Clear Body Light Metal, Light Metal Light Metal Light Metal Light Metal Light Metal
Metang,375, Steel Psychic,Iron Claw Pokémon,1.2 m (3′11″),202.5 kg (446.4 lbs), Clear Body Light Metal, Light Metal Light Metal Light Metal Light Metal Light Metal
Metagross,376, Steel Psychic,Iron Leg Pokémon,1.6 m (5′03″),550.0 kg (1212.5 lbs), Clear Body Light Metal, Light Metal Light Metal Light Metal Light Metal Light Metal
Regirock,377, Rock,Rock Peak Pokémon,1.7 m (5′07″),230.0 kg (507.1 lbs), Clear Body Sturdy, Sturdy Sturdy
Regice,378, Ice,Iceberg Pokémon,1.8 m (5′11″),175.0 kg (385.8 lbs), Clear Body Ice Body, Ice Body Ice Body
Registeel,379, Steel,Iron Pokémon,1.9 m (6′03″),205.0 kg (451.9 lbs), Clear Body Light Metal, Light Metal Light Metal
Latias,380, Dragon Psychic,Eon Pokémon,1.4 m (4′07″),40.0 kg (88.2 lbs), Levitate, Levitate Levitate
Latios,381, Dragon Psychic,Eon Pokémon,2.0 m (6′07″),60.0 kg (132.3 lbs), Levitate, Levitate Levitate
Kyogre,382, Water,Sea Basin Pokémon,4.5 m (14′09″),352.0 kg (776.0 lbs), Drizzle, Drizzle Drizzle
Groudon,383, Ground,Continent Pokémon,3.5 m (11′06″),950.0 kg (2094.4 lbs), Drought, Drought Drought
Rayquaza,384, Dragon Flying,Sky High Pokémon,7.0 m (23′00″),206.5 kg (455.3 lbs), Air Lock, Air Lock Air Lock
Jirachi,385, Steel Psychic,Wish Pokémon,0.3 m (1′00″),1.1 kg (2.4 lbs), Serene Grace, Serene Grace Serene Grace
Deoxys,386, Psychic,DNA Pokémon,1.7 m (5′07″),60.8 kg (134.0 lbs), Pressure, Pressure Pressure
Turtwig,387, Grass,Tiny Leaf Pokémon,0.4 m (1′04″),10.2 kg (22.5 lbs), Overgrow Shell Armor, Shell Armor Shell Armor
Grotle,388, Grass,Grove Pokémon,1.1 m (3′07″),97.0 kg (213.8 lbs), Overgrow Shell Armor, Shell Armor Shell Armor
Torterra,389, Grass Ground,Continent Pokémon,2.2 m (7′03″),310.0 kg (683.4 lbs), Overgrow Shell Armor, Shell Armor Shell Armor
Chimchar,390, Fire,Chimp Pokémon,0.5 m (1′08″),6.2 kg (13.7 lbs), Blaze Iron Fist, Iron Fist Iron Fist
Monferno,391, Fire Fighting,Playful Pokémon,0.9 m (2′11″),22.0 kg (48.5 lbs), Blaze Iron Fist, Iron Fist Iron Fist
Infernape,392, Fire Fighting,Flame Pokémon,1.2 m (3′11″),55.0 kg (121.3 lbs), Blaze Iron Fist, Iron Fist Iron Fist
Piplup,393, Water,Penguin Pokémon,0.4 m (1′04″),5.2 kg (11.5 lbs), Torrent Defiant, Defiant Defiant
Prinplup,394, Water,Penguin Pokémon,0.8 m (2′07″),23.0 kg (50.7 lbs), Torrent Defiant, Defiant Defiant
Empoleon,395, Water Steel,Emperor Pokémon,1.7 m (5′07″),84.5 kg (186.3 lbs), Torrent Defiant, Defiant Defiant
Starly,396, Normal Flying,Starling Pokémon,0.3 m (1′00″),2.0 kg (4.4 lbs), Keen Eye Reckless, Reckless Reckless Reckless
Staravia,397, Normal Flying,Starling Pokémon,0.6 m (2′00″),15.5 kg (34.2 lbs), Intimidate Reckless, Reckless Reckless Reckless
Staraptor,398, Normal Flying,Predator Pokémon,1.2 m (3′11″),24.9 kg (54.9 lbs), Intimidate Reckless, Reckless Reckless Reckless
Bidoof,399, Normal,Plump Mouse Pokémon,0.5 m (1′08″),20.0 kg (44.1 lbs), Simple Unaware Moody, Moody Moody Moody
Bibarel,400, Normal Water,Beaver Pokémon,1.0 m (3′03″),31.5 kg (69.4 lbs), Simple Unaware Moody, Moody Moody Moody
Kricketot,401, Bug,Cricket Pokémon,0.3 m (1′00″),2.2 kg (4.9 lbs), Shed Skin Run Away, Run Away Run Away
Kricketune,402, Bug,Cricket Pokémon,1.0 m (3′03″),25.5 kg (56.2 lbs), Swarm Technician, Technician Technician
Shinx,403, Electric,Flash Pokémon,0.5 m (1′08″),9.5 kg (20.9 lbs), Rivalry Intimidate Guts, Guts Guts
Luxio,404, Electric,Spark Pokémon,0.9 m (2′11″),30.5 kg (67.2 lbs), Rivalry Intimidate Guts, Guts Guts
Luxray,405, Electric,Gleam Eyes Pokémon,1.4 m (4′07″),42.0 kg (92.6 lbs), Rivalry Intimidate Guts, Guts Guts
Budew,406, Grass Poison,Bud Pokémon,0.2 m (0′08″),1.2 kg (2.6 lbs), Natural Cure Poison Point Leaf Guard, Leaf Guard Leaf Guard Leaf Guard Leaf Guard Leaf Guard Leaf Guard
Roserade,407, Grass Poison,Bouquet Pokémon,0.9 m (2′11″),14.5 kg (32.0 lbs), Natural Cure Poison Point Technician, Technician Technician Technician Technician Technician Technician
Cranidos,408, Rock,Head Butt Pokémon,0.9 m (2′11″),31.5 kg (69.4 lbs), Mold Breaker Sheer Force, Sheer Force Sheer Force Sheer Force Sheer Force
Rampardos,409, Rock,Head Butt Pokémon,1.6 m (5′03″),102.5 kg (226.0 lbs), Mold Breaker Sheer Force, Sheer Force Sheer Force Sheer Force Sheer Force
Shieldon,410, Rock Steel,Shield Pokémon,0.5 m (1′08″),57.0 kg (125.7 lbs), Sturdy Soundproof, Soundproof Soundproof Soundproof Soundproof
Bastiodon,411, Rock Steel,Shield Pokémon,1.3 m (4′03″),149.5 kg (329.6 lbs), Sturdy Soundproof, Soundproof Soundproof Soundproof Soundproof
Burmy,412, Bug,Bagworm Pokémon,0.2 m (0′08″),3.4 kg (7.5 lbs), Shed Skin Overcoat, Overcoat Overcoat Overcoat
Wormadam,413, Bug Grass,Bagworm Pokémon,0.5 m (1′08″),6.5 kg (14.3 lbs), Anticipation Overcoat, Overcoat Overcoat Overcoat
Mothim,414, Bug Flying,Moth Pokémon,0.9 m (2′11″),23.3 kg (51.4 lbs), Swarm Tinted Lens, Tinted Lens Tinted Lens Tinted Lens
Combee,415, Bug Flying,Tiny Bee Pokémon,0.3 m (1′00″),5.5 kg (12.1 lbs), Honey Gather Hustle, Hustle Hustle Hustle Hustle Hustle
Vespiquen,416, Bug Flying,Beehive Pokémon,1.2 m (3′11″),38.5 kg (84.9 lbs), Pressure Unnerve, Unnerve Unnerve Unnerve Unnerve Unnerve
Pachirisu,417, Electric,EleSquirrel Pokémon,0.4 m (1′04″),3.9 kg (8.6 lbs), Run Away Pickup Volt Absorb, Volt Absorb Volt Absorb Volt Absorb
Buizel,418, Water,Sea Weasel Pokémon,0.7 m (2′04″),29.5 kg (65.0 lbs), Swift Swim Water Veil, Water Veil Water Veil Water Veil Water Veil
Floatzel,419, Water,Sea Weasel Pokémon,1.1 m (3′07″),33.5 kg (73.9 lbs), Swift Swim Water Veil, Water Veil Water Veil Water Veil Water Veil
Cherubi,420, Grass,Cherry Pokémon,0.4 m (1′04″),3.3 kg (7.3 lbs), Chlorophyll, Chlorophyll Chlorophyll Chlorophyll
Cherrim,421, Grass,Blossom Pokémon,0.5 m (1′08″),9.3 kg (20.5 lbs), Flower Gift, Flower Gift Flower Gift Flower Gift
Shellos,422, Water,Sea Slug Pokémon,0.3 m (1′00″),6.3 kg (13.9 lbs), Sticky Hold Storm Drain Sand Force, Sand Force Sand Force Sand Force Sand Force Sand Force
Gastrodon,423, Water Ground,Sea Slug Pokémon,0.9 m (2′11″),29.9 kg (65.9 lbs), Sticky Hold Storm Drain Sand Force, Sand Force Sand Force Sand Force Sand Force Sand Force
Ambipom,424, Normal,Long Tail Pokémon,1.2 m (3′11″),20.3 kg (44.8 lbs), Technician Pickup Skill Link, Skill Link Skill Link Skill Link Skill Link
Drifloon,425, Ghost Flying,Balloon Pokémon,0.4 m (1′04″),1.2 kg (2.6 lbs), Aftermath Unburden Flare Boost, Flare Boost Flare Boost Flare Boost Flare Boost Flare Boost Flare Boost Flare Boost
Drifblim,426, Ghost Flying,Blimp Pokémon,1.2 m (3′11″),15.0 kg (33.1 lbs), Aftermath Unburden Flare Boost, Flare Boost Flare Boost Flare Boost Flare Boost Flare Boost Flare Boost Flare Boost
Buneary,427, Normal,Rabbit Pokémon,0.4 m (1′04″),5.5 kg (12.1 lbs), Run Away Klutz Limber, Limber Limber Limber Limber
Lopunny,428, Normal,Rabbit Pokémon,1.2 m (3′11″),33.3 kg (73.4 lbs), Cute Charm Klutz Limber, Limber Limber Limber Limber
Mismagius,429, Ghost,Magical Pokémon,0.9 m (2′11″),4.4 kg (9.7 lbs), Levitate, Levitate Levitate Levitate Levitate
Honchkrow,430, Dark Flying,Big Boss Pokémon,0.9 m (2′11″),27.3 kg (60.2 lbs), Insomnia Super Luck Moxie, Moxie Moxie Moxie Moxie Moxie
Glameow,431, Normal,Catty Pokémon,0.5 m (1′08″),3.9 kg (8.6 lbs), Limber Own Tempo Keen Eye, Keen Eye Keen Eye
Purugly,432, Normal,Tiger Cat Pokémon,1.0 m (3′03″),43.8 kg (96.6 lbs), Thick Fat Own Tempo Defiant, Defiant Defiant
Chingling,433, Psychic,Bell Pokémon,0.2 m (0′08″),0.6 kg (1.3 lbs), Levitate, Levitate Levitate Levitate Levitate
Stunky,434, Poison Dark,Skunk Pokémon,0.4 m (1′04″),19.2 kg (42.3 lbs), Stench Aftermath Keen Eye, Keen Eye Keen Eye Keen Eye Keen Eye
Skuntank,435, Poison Dark,Skunk Pokémon,1.0 m (3′03″),38.0 kg (83.8 lbs), Stench Aftermath Keen Eye, Keen Eye Keen Eye Keen Eye Keen Eye
Bronzor,436, Steel Psychic,Bronze Pokémon,0.5 m (1′08″),60.5 kg (133.4 lbs), Levitate Heatproof Heavy Metal, Heavy Metal Heavy Metal Heavy Metal Heavy Metal
Bronzong,437, Steel Psychic,Bronze Bell Pokémon,1.3 m (4′03″),187.0 kg (412.3 lbs), Levitate Heatproof Heavy Metal, Heavy Metal Heavy Metal Heavy Metal Heavy Metal
Bonsly,438, Rock,Bonsai Pokémon,0.5 m (1′08″),15.0 kg (33.1 lbs), Sturdy Rock Head Rattled, Rattled Rattled Rattled Rattled Rattled Rattled
Mime Jr.,439, Psychic Fairy,Mime Pokémon,0.6 m (2′00″),13.0 kg (28.7 lbs), Soundproof Filter Technician, Technician Technician Technician Technician Technician
Happiny,440, Normal,Playhouse Pokémon,0.6 m (2′00″),24.4 kg (53.8 lbs), Natural Cure Serene Grace Friend Guard, Friend Guard Friend Guard Friend Guard Friend Guard
Chatot,441, Normal Flying,Music Note Pokémon,0.5 m (1′08″),1.9 kg (4.2 lbs), Keen Eye Tangled Feet Big Pecks, Big Pecks Big Pecks Big Pecks
Spiritomb,442, Ghost Dark,Forbidden Pokémon,1.0 m (3′03″),108.0 kg (238.1 lbs), Pressure Infiltrator, Infiltrator Infiltrator
Gible,443, Dragon Ground,Land Shark Pokémon,0.7 m (2′04″),20.5 kg (45.2 lbs), Sand Veil Rough Skin, Rough Skin Rough Skin Rough Skin Rough Skin Rough Skin
Gabite,444, Dragon Ground,Cave Pokémon,1.4 m (4′07″),56.0 kg (123.5 lbs), Sand Veil Rough Skin, Rough Skin Rough Skin Rough Skin Rough Skin Rough Skin
