name,EV yield,Catch rate,Base Friendship,Base Exp.,Growth Rate
Staraptor,"
3 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),218,Medium Slow
Bidoof,"
1 HP ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),50,Medium Fast
Bibarel,"
2 Attack ","127 (16.6% with PokéBall, full HP) (16.6% with PokéBall, full HP)",70 (normal) (normal),144,Medium Fast
Kricketot,"
1 Defense ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),39,Medium Slow
Kricketune,"
2 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),134,Medium Slow
Shinx,"
1 Attack ","235 (30.7% with PokéBall, full HP) (30.7% with PokéBall, full HP)",70 (normal) (normal),53,Medium Slow
Luxio,"
2 Attack ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",100 (higher than normal) (higher than normal),127,Medium Slow
Luxray,"
3 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),235,Medium Slow
Budew,"
1 Special Attack ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),56,Medium Slow
Roserade,"
3 Special Attack ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),232,Medium Slow
Cranidos,"
1 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),70,Erratic
Rampardos,"
2 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),173,Erratic
Shieldon,"
1 Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),70,Erratic
Bastiodon,"
2 Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),173,Erratic
Burmy,"
1 Special Defense ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),45,Medium Fast
Wormadam,"
2 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),148,Medium Fast
Mothim,"
1 Attack, 1 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),148,Medium Fast
Combee,"
1 Speed ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),49,Medium Slow
Vespiquen,"
1 Defense, 1 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),166,Medium Slow
Pachirisu,"
1 Speed ","200 (26.1% with PokéBall, full HP) (26.1% with PokéBall, full HP)",100 (higher than normal) (higher than normal),142,Medium Fast
Buizel,"
1 Speed ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),66,Medium Fast
Floatzel,"
2 Speed ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),173,Medium Fast
Cherubi,"
1 Special Attack ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),55,Medium Fast
Cherrim,"
2 Special Attack ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),158,Medium Fast
Shellos,"
1 HP ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),65,Medium Fast
Gastrodon,"
2 HP ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),166,Medium Fast
Ambipom,"
2 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",100 (higher than normal) (higher than normal),169,Fast
Drifloon,"
1 HP ","125 (16.3% with PokéBall, full HP) (16.3% with PokéBall, full HP)",70 (normal) (normal),70,Fluctuating
Drifblim,"
2 HP ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),174,Fluctuating
Buneary,"
1 Speed ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",0 (lower than normal) (lower than normal),70,Medium Fast
Lopunny,"
2 Speed ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",140 (higher than normal) (higher than normal),168,Medium Fast
Mismagius,"
1 Special Attack, 1 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",35 (lower than normal) (lower than normal),173,Fast
Honchkrow,"
2 Attack ","30 (3.9% with PokéBall, full HP) (3.9% with PokéBall, full HP)",35 (lower than normal) (lower than normal),177,Medium Slow
Glameow,"
1 Speed ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),62,Fast
Purugly,"
2 Speed ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),158,Fast
Chingling,"
1 Special Attack ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),57,Fast
Stunky,"
1 Speed ","225 (29.4% with PokéBall, full HP) (29.4% with PokéBall, full HP)",70 (normal) (normal),66,Medium Fast
Skuntank,"
2 HP ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),168,Medium Fast
Bronzor,"
1 Defense ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),60,Medium Fast
Bronzong,"
1 Defense, 1 Special Defense ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",70 (normal) (normal),175,Medium Fast
Bonsly,"
1 Defense ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),58,Medium Fast
Mime Jr.,"
1 Special Defense ","145 (19.0% with PokéBall, full HP) (19.0% with PokéBall, full HP)",70 (normal) (normal),62,Medium Fast
Happiny,"
1 HP ","130 (17.0% with PokéBall, full HP) (17.0% with PokéBall, full HP)",140 (higher than normal) (higher than normal),110,Fast
Chatot,"
1 Attack ","30 (3.9% with PokéBall, full HP) (3.9% with PokéBall, full HP)",35 (lower than normal) (lower than normal),144,Medium Slow
Spiritomb,"
1 Defense, 1 Special Defense ","100 (13.1% with PokéBall, full HP) (13.1% with PokéBall, full HP)",70 (normal) (normal),170,Medium Fast
Gible,"
1 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),60,Slow
Gabite,"
2 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),144,Slow
Garchomp,"
3 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),270,Slow
Munchlax,"
1 HP ","50 (6.5% with PokéBall, full HP) (6.5% with PokéBall, full HP)",70 (normal) (normal),78,Slow
Riolu,"
1 Attack ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),57,Medium Slow
Lucario,"
1 Attack, 1 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),184,Medium Slow
Hippopotas,"
1 Defense ","140 (18.3% with PokéBall, full HP) (18.3% with PokéBall, full HP)",70 (normal) (normal),66,Slow
Hippowdon,"
2 Defense ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),184,Slow
Skorupi,"
1 Defense ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),66,Slow
Drapion,"
2 Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),175,Slow
Croagunk,"
1 Attack ","140 (18.3% with PokéBall, full HP) (18.3% with PokéBall, full HP)",100 (higher than normal) (higher than normal),60,Medium Fast
Toxicroak,"
2 Attack ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),172,Medium Fast
Carnivine,"
2 Attack ","200 (26.1% with PokéBall, full HP) (26.1% with PokéBall, full HP)",70 (normal) (normal),159,Slow
Finneon,"
1 Speed ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),66,Erratic
Lumineon,"
2 Speed ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),161,Erratic
Mantyke,"
1 Special Defense ","25 (3.3% with PokéBall, full HP) (3.3% with PokéBall, full HP)",70 (normal) (normal),69,Slow
Snover,"
1 Attack ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),67,Slow
Abomasnow,"
1 Attack, 1 Special Attack ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),173,Slow
Weavile,"
1 Attack, 1 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",35 (lower than normal) (lower than normal),179,Medium Slow
Magnezone,"
3 Special Attack ","30 (3.9% with PokéBall, full HP) (3.9% with PokéBall, full HP)",70 (normal) (normal),241,Medium Fast
Lickilicky,"
3 HP ","30 (3.9% with PokéBall, full HP) (3.9% with PokéBall, full HP)",70 (normal) (normal),180,Medium Fast
Rhyperior,"
3 Attack ","30 (3.9% with PokéBall, full HP) (3.9% with PokéBall, full HP)",70 (normal) (normal),241,Slow
Tangrowth,"
2 Defense ","30 (3.9% with PokéBall, full HP) (3.9% with PokéBall, full HP)",70 (normal) (normal),187,Medium Fast
Electivire,"
3 Attack ","30 (3.9% with PokéBall, full HP) (3.9% with PokéBall, full HP)",70 (normal) (normal),243,Medium Fast
Magmortar,"
3 Special Attack ","30 (3.9% with PokéBall, full HP) (3.9% with PokéBall, full HP)",70 (normal) (normal),243,Medium Fast
Togekiss,"
2 Special Attack, 1 Special Defense ","30 (3.9% with PokéBall, full HP) (3.9% with PokéBall, full HP)",70 (normal) (normal),245,Fast
Yanmega,"
2 Attack ","30 (3.9% with PokéBall, full HP) (3.9% with PokéBall, full HP)",70 (normal) (normal),180,Medium Fast
Leafeon,"
2 Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",35 (lower than normal) (lower than normal),184,Medium Fast
Glaceon,"
2 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",35 (lower than normal) (lower than normal),184,Medium Fast
Gliscor,"
2 Defense ","30 (3.9% with PokéBall, full HP) (3.9% with PokéBall, full HP)",70 (normal) (normal),179,Medium Slow
Mamoswine,"
3 Attack ","50 (6.5% with PokéBall, full HP) (6.5% with PokéBall, full HP)",70 (normal) (normal),239,Slow
Porygon-Z,"
3 Special Attack ","30 (3.9% with PokéBall, full HP) (3.9% with PokéBall, full HP)",70 (normal) (normal),241,Medium Fast
Gallade,"
3 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",35 (lower than normal) (lower than normal),233,Slow
Probopass,"
1 Defense, 2 Special Defense ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),184,Medium Fast
Dusknoir,"
1 Defense, 2 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",35 (lower than normal) (lower than normal),236,Fast
Froslass,"
2 Speed ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),168,Medium Fast
Rotom,"
1 Special Attack, 1 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),154,Medium Fast
Uxie,"
2 Defense, 1 Special Defense ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",140 (higher than normal) (higher than normal),261,Slow
Mesprit,"
1 Attack, 1 Special Attack, 1 Special Defense ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",140 (higher than normal) (higher than normal),261,Slow
Azelf,"
2 Attack, 1 Special Attack ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",140 (higher than normal) (higher than normal),261,Slow
Dialga,"
3 Special Attack ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",0 (lower than normal) (lower than normal),306,Slow
Palkia,"
3 Special Attack ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",0 (lower than normal) (lower than normal),306,Slow
Heatran,"
3 Special Attack ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",100 (higher than normal) (higher than normal),270,Slow
Regigigas,"
3 Attack ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",0 (lower than normal) (lower than normal),302,Slow
Giratina,"
3 HP ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",0 (lower than normal) (lower than normal),306,Slow
Cresselia,"
3 Special Defense ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",100 (higher than normal) (higher than normal),270,Slow
Phione,"
1 HP ","30 (3.9% with PokéBall, full HP) (3.9% with PokéBall, full HP)",70 (normal) (normal),216,Slow
Manaphy,"
3 HP ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",70 (normal) (normal),270,Slow
Darkrai,"
2 Special Attack, 1 Speed ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",0 (lower than normal) (lower than normal),270,Slow
Shaymin,"
3 HP ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",100 (higher than normal) (higher than normal),270,Medium Slow
Arceus,"
3 HP ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",0 (lower than normal) (lower than normal),324,Slow
Victini,"
3 HP ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",100 (higher than normal) (higher than normal),270,Slow
Snivy,"
1 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),62,Medium Slow
Servine,"
2 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),145,Medium Slow
Serperior,"
3 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),238,Medium Slow
Tepig,"
1 HP ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),62,Medium Slow
Pignite,"
2 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),146,Medium Slow
Emboar,"
3 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),238,Medium Slow
Oshawott,"
1 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),62,Medium Slow
Dewott,"
2 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),145,Medium Slow
Samurott,"
3 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),238,Medium Slow
Patrat,"
1 Attack ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),51,Medium Fast
Watchog,"
2 Attack ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),147,Medium Fast
Lillipup,"
1 Attack ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),55,Medium Slow
Herdier,"
2 Attack ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),130,Medium Slow
Stoutland,"
3 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),225,Medium Slow
Purrloin,"
1 Speed ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),56,Medium Fast
Liepard,"
2 Speed ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",70 (normal) (normal),156,Medium Fast
Pansage,"
1 Speed ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),63,Medium Fast
Simisage,"
2 Speed ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),174,Medium Fast
Pansear,"
1 Speed ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),63,Medium Fast
Simisear,"
2 Speed ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),174,Medium Fast
Panpour,"
1 Speed ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),63,Medium Fast
Simipour,"
2 Speed ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),174,Medium Fast
Munna,"
1 HP ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),58,Fast
Musharna,"
2 HP ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),170,Fast
Pidove,"
1 Attack ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),53,Medium Slow
Tranquill,"
2 Attack ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),125,Medium Slow
Unfezant,"
3 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),220,Medium Slow
Blitzle,"
1 Speed ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),59,Medium Fast
Zebstrika,"
2 Speed ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),174,Medium Fast
Roggenrola,"
1 Defense ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),56,Medium Slow
Boldore,"
1 Attack, 1 Defense ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),137,Medium Slow
Gigalith,"
3 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),232,Medium Slow
Woobat,"
1 Speed ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),65,Medium Fast
Swoobat,"
2 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),149,Medium Fast
Drilbur,"
1 Attack ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),66,Medium Fast
Excadrill,"
2 Attack ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),178,Medium Fast
Audino,"
2 HP ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),390,Fast
Timburr,"
1 Attack ","180 (23.5% with PokéBall, full HP) (23.5% with PokéBall, full HP)",70 (normal) (normal),61,Medium Slow
Gurdurr,"
2 Attack ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",70 (normal) (normal),142,Medium Slow
Conkeldurr,"
3 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),227,Medium Slow
Tympole,"
1 Speed ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),59,Medium Slow
Palpitoad,"
2 HP ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),134,Medium Slow
Seismitoad,"
3 HP ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),229,Medium Slow
Throh,"
2 HP ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),163,Medium Fast
Sawk,"
2 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),163,Medium Fast
Sewaddle,"
1 Defense ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),62,Medium Slow
Swadloon,"
2 Defense ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),133,Medium Slow
Leavanny,"
3 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),225,Medium Slow
Venipede,"
1 Defense ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),52,Medium Slow
Whirlipede,"
2 Defense ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),126,Medium Slow
Scolipede,"
3 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),218,Medium Slow
Cottonee,"
1 Speed ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),56,Medium Fast
Whimsicott,"
2 Speed ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),168,Medium Fast
Petilil,"
1 Special Attack ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),56,Medium Fast
Lilligant,"
2 Special Attack ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),168,Medium Fast
Basculin,"
2 Speed ","25 (3.3% with PokéBall, full HP) (3.3% with PokéBall, full HP)",70 (normal) (normal),161,Medium Fast
Sandile,"
1 Attack ","180 (23.5% with PokéBall, full HP) (23.5% with PokéBall, full HP)",70 (normal) (normal),58,Medium Slow
Krokorok,"
2 Attack ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",70 (normal) (normal),123,Medium Slow
Krookodile,"
3 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),234,Medium Slow
Darumaka,"
1 Attack ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),63,Medium Slow
Darmanitan,"
2 Attack ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),168,Medium Slow
Maractus,"
2 Special Attack ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),161,Medium Fast
Dwebble,"
1 Defense ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),65,Medium Fast
Crustle,"
2 Defense ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),170,Medium Fast
Scraggy,"
1 Attack ","180 (23.5% with PokéBall, full HP) (23.5% with PokéBall, full HP)",35 (lower than normal) (lower than normal),70,Medium Fast
Scrafty,"
1 Defense, 1 Special Defense ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",70 (normal) (normal),171,Medium Fast
Sigilyph,"
2 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),172,Medium Fast
Yamask,"
1 Defense ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),61,Medium Fast
Cofagrigus,"
2 Defense ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",70 (normal) (normal),169,Medium Fast
Tirtouga,"
1 Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),71,Medium Fast
Carracosta,"
2 Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),173,Medium Fast
Archen,"
1 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),71,Medium Fast
Archeops,"
2 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),177,Medium Fast
Trubbish,"
1 Speed ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),66,Medium Fast
Garbodor,"
2 Attack ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),166,Medium Fast
Zorua,"
1 Special Attack ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),66,Medium Slow
Zoroark,"
2 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),179,Medium Slow
Minccino,"
1 Speed ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),60,Fast
Cinccino,"
2 Speed ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),165,Fast
Gothita,"
1 Special Defense ","200 (26.1% with PokéBall, full HP) (26.1% with PokéBall, full HP)",70 (normal) (normal),58,Medium Slow
Gothorita,"
2 Special Defense ","100 (13.1% with PokéBall, full HP) (13.1% with PokéBall, full HP)",70 (normal) (normal),137,Medium Slow
Gothitelle,"
3 Special Defense ","50 (6.5% with PokéBall, full HP) (6.5% with PokéBall, full HP)",70 (normal) (normal),221,Medium Slow
Solosis,"
1 Special Attack ","200 (26.1% with PokéBall, full HP) (26.1% with PokéBall, full HP)",70 (normal) (normal),58,Medium Slow
Duosion,"
2 Special Attack ","100 (13.1% with PokéBall, full HP) (13.1% with PokéBall, full HP)",70 (normal) (normal),130,Medium Slow
Reuniclus,"
3 Special Attack ","50 (6.5% with PokéBall, full HP) (6.5% with PokéBall, full HP)",70 (normal) (normal),221,Medium Slow
Ducklett,"
1 HP ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),61,Medium Fast
Swanna,"
2 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),166,Medium Fast
Vanillite,"
1 Special Attack ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),61,Slow
Vanillish,"
2 Special Attack ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),138,Slow
Vanilluxe,"
3 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),241,Slow
Deerling,"
1 Speed ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),67,Medium Fast
Sawsbuck,"
2 Attack ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),166,Medium Fast
Emolga,"
2 Speed ","200 (26.1% with PokéBall, full HP) (26.1% with PokéBall, full HP)",70 (normal) (normal),150,Medium Fast
Karrablast,"
1 Attack ","200 (26.1% with PokéBall, full HP) (26.1% with PokéBall, full HP)",70 (normal) (normal),63,Medium Fast
Escavalier,"
2 Attack ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),173,Medium Fast
Foongus,"
1 HP ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),59,Medium Fast
Amoonguss,"
2 HP ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),162,Medium Fast
Frillish,"
1 Special Defense ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),67,Medium Fast
Jellicent,"
2 Special Defense ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),168,Medium Fast
Alomomola,"
2 HP ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),165,Fast
Joltik,"
1 Speed ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),64,Medium Fast
Galvantula,"
2 Speed ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),165,Medium Fast
